logger_ID,Temperature,Moisture,Reaction,Nutrients,sp_richness,trait_height,trait_sla,trait_N,trait_suc,Shannon,traits_available
1,1.891304347826087,3.0217391304347827,2.347826086956522,2.4347826086956523,24,14.741176470588236,219.6320485931928,2.165450980392157,0.013778267297750797,2.2993002056270715,TRUE
2,1.125,3,2,1.75,4,2.2666666666666666,252.441514194143,2.262,0.0161749661438537,1.3862943611198906,TRUE
3,1.1785714285714286,2.5714285714285716,2.2142857142857144,1.5714285714285714,14,5.090909090909091,216.37535275422374,1.5887272727272728,0.021024124235250217,2.0749623267960073,TRUE
4,1.2222222222222223,3.111111111111111,2.3333333333333335,2.2222222222222223,9,4.171428571428572,247.85125181153487,1.7611428571428571,0.014957001361046008,1.819658305196746,TRUE
5,1.1666666666666667,3.3333333333333335,2.2666666666666666,1.6666666666666667,15,4.12,212.7270268674976,1.9164,0.01867746471916814,1.621122020982483,TRUE
7,1.3,3,2,1.9333333333333333,15,7.9714285714285715,205.44322313858743,1.9020000000000001,0.015757626215323305,2.1878089133175536,TRUE
8,1.7833333333333334,2.783333333333333,2.566666666666667,2.2666666666666666,31,NA,NA,NA,NA,2.679976535802187,FALSE
9,1.1944444444444444,3.0833333333333335,2.611111111111111,1.6666666666666667,18,NA,NA,NA,NA,2.2711528045475045,FALSE
10,1.2727272727272727,3.1363636363636362,2.1818181818181817,2,11,5.377777777777778,176.23812716333734,1.7504444444444445,0.01833884646642383,1.529001840362892,TRUE
12,1.1428571428571428,3.2142857142857144,2.142857142857143,2.142857142857143,7,5.542857142857143,214.66217304736287,1.7297142857142858,0.01701121980169294,0.9536870968261044,TRUE
13,1.2727272727272727,3.3636363636363638,2.3636363636363638,2.1818181818181817,11,4.2250000000000005,204.4293808454995,1.945,0.020466391207527086,1.7511054792405214,TRUE
14,1.1842105263157894,2.6315789473684212,2.0526315789473686,1.7894736842105263,19,5.472727272727273,216.4369828212403,1.598909090909091,0.017360876993842124,2.148443307668265,TRUE
17,1.125,3.4375,2.375,1.625,8,2.72,195.788060944906,2.1184,0.02154328144571742,0.8559147151745625,TRUE
18,1.2916666666666667,3.125,2.5,2,12,7.114285714285715,269.2168955262496,2.1015714285714284,0.01912767628316928,2.1768921335116587,TRUE
19,1.3235294117647058,3.0294117647058822,2.2941176470588234,2,17,NA,NA,NA,NA,2.3383499389443765,FALSE
20,1.2,3,2.3,1.8,10,3.542857142857143,206.48750653766845,1.9662857142857142,0.015887058000445552,1.5664382499550453,TRUE
21,1.1363636363636365,2.772727272727273,2.1818181818181817,1.6363636363636365,11,3.46,209.1353232157995,1.6082,0.020390327629016096,1.7511054792405214,TRUE
22,1.1785714285714286,2.75,2.142857142857143,1.6428571428571428,14,4.516666666666667,197.39809806281008,1.698,0.020711300557541473,2.081874959318371,TRUE
23,1,3.5,2,1.5,2,2.6,262.08328679255646,2.022,0.01533865921115805,0.05554607526889177,TRUE
24,1.5,2.9,2.2,1.8,5,2.4000000000000004,179.91185612390902,1.7025000000000001,0.022104836203631774,1.2526951039307357,TRUE
25,1.6964285714285714,2.8392857142857144,2.2857142857142856,2.2142857142857144,29,9.2,193.04941551332678,1.8443333333333334,0.016164561830538965,2.787667567704188,TRUE
26,1.2777777777777777,2.888888888888889,2.2222222222222223,2,9,4.12,233.596623742022,2.208,0.01720003347029178,1.9618833610177429,TRUE
27,1.2142857142857142,3.2142857142857144,2.4285714285714284,2.2857142857142856,7,5.566666666666666,181.02323771082837,1.6936666666666667,0.017124758168802778,1.801087261335782,TRUE
28,1.25,2.725,2.15,1.8,20,7.225,194.45175080739665,1.6520000000000001,0.01709029201182944,2.2844967572778234,TRUE
30,1.1666666666666667,3.0416666666666665,2.25,1.8333333333333333,12,3.875,166.9484417937604,2.06125,0.020727072492811856,1.742875184670088,TRUE
31,1.1785714285714286,3.107142857142857,2.5,1.6428571428571428,14,4.7250000000000005,228.49577156766313,1.86475,0.01863318497632596,1.8296827256817425,TRUE
32,1.1,2.7,2,1.6666666666666667,15,NA,NA,NA,NA,2.0974935708985454,FALSE
33,1.2857142857142858,2.5714285714285716,2.0714285714285716,1.7142857142857142,15,7.4,227.9421864757918,1.6226,0.01793545296548663,1.8788783120570989,TRUE
34,1.25,3,2.45,1.85,20,4.4,195.7000213851271,1.7018461538461538,0.020857765320526037,1.9069725185637756,TRUE
35,1.3333333333333333,2.8333333333333335,2.5,2.1666666666666665,6,5.15,266.6911754052925,1.246,0.017978445876149315,1.28487876782417,TRUE
